old_group	old_target	status	new_group	new_target	profile	mapping	app_file	exclusion_reason
logging	LilyGo_TBeam_1W_room_server-logging	built	repeater-room	LilyGo_TBeam_1W_room_server	standard		LilyGo_TBeam_1W_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TDeck_companion_radio_usb-logging	built	companion	LilyGo_TDeck_companion_radio_full	full	LilyGo_TDeck_companion_radio_usb -> LilyGo_TDeck_companion_radio_full (full_companion)	LilyGo_TDeck_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TDeck_repeater-logging	built	repeater-room	LilyGo_TDeck_repeater	standard		LilyGo_TDeck_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TETH_Elite_sx1262_companion_radio_usb-logging	built	companion	LilyGo_TETH_Elite_sx1262_companion_radio_full	full	LilyGo_TETH_Elite_sx1262_companion_radio_usb -> LilyGo_TETH_Elite_sx1262_companion_radio_full (full_companion)	LilyGo_TETH_Elite_sx1262_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TETH_Elite_sx1262_repeater-logging	built	repeater-room	LilyGo_TETH_Elite_sx1262_repeater	standard		LilyGo_TETH_Elite_sx1262_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TETH_Elite_sx1262_room_server-logging	built	repeater-room	LilyGo_TETH_Elite_sx1262_room_server	standard		LilyGo_TETH_Elite_sx1262_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TLora_V2_1_1_6_companion_radio_full-logging	built	companion	LilyGo_TLora_V2_1_1_6_companion_radio_full	full		LilyGo_TLora_V2_1_1_6_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TLora_V2_1_1_6_companion_radio_usb-logging	built	companion	LilyGo_TLora_V2_1_1_6_companion_radio_full	full	LilyGo_TLora_V2_1_1_6_companion_radio_usb -> LilyGo_TLora_V2_1_1_6_companion_radio_full (full_companion)	LilyGo_TLora_V2_1_1_6_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TLora_V2_1_1_6_companion_radio_wifi-logging	built	companion	LilyGo_TLora_V2_1_1_6_companion_radio_full	full	LilyGo_TLora_V2_1_1_6_companion_radio_wifi -> LilyGo_TLora_V2_1_1_6_companion_radio_full (full_companion)	LilyGo_TLora_V2_1_1_6_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TLora_V2_1_1_6_repeater-logging	built	repeater-room	LilyGo_TLora_V2_1_1_6_repeater	standard		LilyGo_TLora_V2_1_1_6_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TLora_V2_1_1_6_repeater_bridge_rs232-logging	built	repeater-room	LilyGo_TLora_V2_1_1_6_repeater	standard	LilyGo_TLora_V2_1_1_6_repeater_bridge_rs232 -> LilyGo_TLora_V2_1_1_6_repeater (rs232)	LilyGo_TLora_V2_1_1_6_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TLora_V2_1_1_6_room_server-logging	built	repeater-room	LilyGo_TLora_V2_1_1_6_room_server	standard		LilyGo_TLora_V2_1_1_6_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_TLora_V2_1_1_6_terminal_chat-logging	built	companion	LilyGo_TLora_V2_1_1_6_companion_radio_full	full	LilyGo_TLora_V2_1_1_6_terminal_chat -> LilyGo_TLora_V2_1_1_6_companion_radio_full (terminal_companion)	LilyGo_TLora_V2_1_1_6_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_T_Impulse_Plus_repeater-logging	built	repeater-room	LilyGo_T_Impulse_Plus_repeater	standard		LilyGo_T_Impulse_Plus_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	LilyGo_Tlora_C6_repeater_-logging	built	full-profiles	LilyGo_Tlora_C6_repeater_	full		LilyGo_Tlora_C6_repeater_-full-logging-ota-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	LilyGo_Tlora_C6_room_server_-logging	built	full-profiles	LilyGo_Tlora_C6_room_server_	full		LilyGo_Tlora_C6_room_server_-full-logging-ota-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	M5Stack_Unit_C6L_companion_radio_usb-logging	built	companion	M5Stack_Unit_C6L_companion_radio_full	full	M5Stack_Unit_C6L_companion_radio_usb -> M5Stack_Unit_C6L_companion_radio_full (full_companion)	M5Stack_Unit_C6L_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	M5Stack_Unit_C6L_repeater-logging	built	full-profiles	M5Stack_Unit_C6L_repeater	full		M5Stack_Unit_C6L_repeater-full-logging-ota-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	M5Stack_Unit_C6L_room_server-logging	built	full-profiles	M5Stack_Unit_C6L_room_server	full		M5Stack_Unit_C6L_room_server-full-logging-ota-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	MeshTracker_X1_companion_radio_full-logging	built	companion	MeshTracker_X1_companion_radio_full	full		MeshTracker_X1_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	MeshTracker_X1_companion_radio_usb-logging	built	companion	MeshTracker_X1_companion_radio_full	full	MeshTracker_X1_companion_radio_usb -> MeshTracker_X1_companion_radio_full (full_companion)	MeshTracker_X1_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	MeshTracker_X1_repeater-logging	built	repeater-room	MeshTracker_X1_repeater	standard		MeshTracker_X1_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
